payment_id,trip_id,debtor_traveler_id,lender_traveler_id,trip,currency,exchange_rate,amount_original,amount_lps,amount_usd
P0001,T002,P004,P002,SPS Sep 2026,L,27.0,4414.09,4414.09,163.48481481481485
P0002,T002,P003,P002,SPS Sep 2026,L,27.0,2098.0,2098.0,77.70370370370371
P0003,T002,P001,P002,SPS Sep 2026,L,27.0,3000.0,3000.0,111.11111111111111
P0004,T001,P005,P002,ESV Shakira 2026,L,26.42,1427.0,1427.0,54.012112036336106
P0005,T001,P003,P002,ESV Shakira 2026,L,26.42,2576.0,2576.0,97.50189250567752
P0006,T001,P003,P002,ESV Shakira 2026,L,26.42,4500.0,4500.0,170.3255109765329
P0007,T001,P004,P002,ESV Shakira 2026,L,26.42,7202.07,7202.07,272.5991672975019
P0008,T001,P001,P002,ESV Shakira 2026,L,26.42,1911.58,1911.58,72.35352006056017
P0009,T001,P005,P002,ESV Shakira 2026,L,26.42,3200.0,3200.0,121.12036336109009
P0010,T001,P001,P002,ESV Shakira 2026,L,26.42,1000.0,1000.0,37.85011355034065
