payment_id,trip_id,trip,currency,exchange_rate,date,amount_original,amount_lps,amount_usd,lender_traveler_id,debtor_traveler_id
P0001,T002,SPS Sep 2026,L,27.0,2026-09-07,4414.09,4414.09,163.48481481481485,P002,P004
P0002,T002,SPS Sep 2026,L,27.0,2026-09-13,2098.0,2098.0,77.70370370370371,P002,P003
P0003,T002,SPS Sep 2026,L,27.0,2026-09-16,3000.0,3000.0,111.11111111111111,P002,P001
P0004,T001,ESV Shakira 2026,L,26.42,2026-02-10,1427.0,1427.0,54.012112036336106,P002,P005
P0005,T001,ESV Shakira 2026,L,26.42,2026-03-14,2576.0,2576.0,97.50189250567752,P002,P003
P0006,T001,ESV Shakira 2026,L,26.42,2026-02-13,4500.0,4500.0,170.3255109765329,P002,P003
P0007,T001,ESV Shakira 2026,L,26.42,2026-02-13,7202.07,7202.07,272.5991672975019,P002,P004
P0008,T001,ESV Shakira 2026,L,26.42,2026-03-02,1911.58,1911.58,72.35352006056017,P002,P001
P0009,T001,ESV Shakira 2026,L,26.42,2026-09-04,3200.0,3200.0,121.12036336109009,P002,P005
P0010,T001,ESV Shakira 2026,L,26.42,2026-08-26,1000.0,1000.0,37.85011355034065,P002,P001
